Compound_id,pChEMBL Value,smiles
CHEMBL14762,5.57,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL1532768,6.26,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@H]3N)nc21
CHEMBL1738758,,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1
CHEMBL179219,,Cc1cnc2oc3ccc(O)cc3c2c1-c1ccccc1
CHEMBL1801932,4.85,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12
CHEMBL1802381,8,O=C1Nc2ccc(C(=O)CCl)cc2/C1=C/c1ccc[nH]1
CHEMBL1802382,,O=C1Nc2ccc(C(=O)CCl)cc2/C1=C/c1cnc[nH]1
CHEMBL1802383,,Cc1nc[nH]c1/C=C1\C(=O)Nc2ccc(C(=O)CCl)cc21
CHEMBL1802384,5.6,CCc1nc(C)c(/C=C2\C(=O)Nc3ccc(C(=O)CCl)cc32)[nH]1
CHEMBL1802385,,CCc1nc(C)c(/C=C2\C(=O)N(C)c3ccc(C(=O)CCl)cc32)[nH]1.Cl
CHEMBL1802386,5.44,CCc1nc(C)c(/C=C2\C(=O)Nc3ccc(C(C)=O)cc32)[nH]1
CHEMBL1802387,7.05,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2
CHEMBL1802388,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2
CHEMBL1802727,,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\OCCC(O)CO
CHEMBL1802869,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]cnc1C)C(=O)N2
CHEMBL1802870,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]c(CC)nc1C)C(=O)N2
CHEMBL1802871,,C#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]c(CC)nc1C)C(=O)N2C
CHEMBL1802872,,CC#CC(=O)Nc1ccc2c(c1)/C(=C/c1[nH]c(CC)nc1C)C(=O)N2
CHEMBL180341,5.71,Oc1ccc2cnc(Nc3ccc(N4CCOCC4)cc3)nc2c1C1CCCC1
CHEMBL180431,6.88,COc1ccc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2c1C1CCCC1
CHEMBL180993,6.09,CC(C)c1c(O)ccc2cnc(Nc3ccccc3)nc12
CHEMBL181323,,COc1cc(C)c2cnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc2c1C1CCCC1
CHEMBL181416,6.4,COc1ccc2cnc(Nc3ccc(N4CCC(N)C4)cc3)nc2c1C1CCCC1
CHEMBL181803,,COc1ccc2cnc(Nc3ccc(N4CCCC4)cc3)nc2c1C(C)C
CHEMBL181834,,COc1ccc2cnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc2c1C1CCCC1
CHEMBL182011,5.71,COc1ccc2cnc(Nc3ccc(N4CCOCC4)cc3)nc2c1C(C)C
CHEMBL1821761,8.3,CS(=O)(=O)N(CCO)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
CHEMBL182325,,COc1ccc2cnc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc2c1C(C)C
CHEMBL182498,6.13,COc1ccc2cnc(Nc3ccc(N4CCNCC4)c(F)c3)nc2c1C(C)C
CHEMBL1825089,7.64,CS(=O)(=O)N(CCN1CCOCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
CHEMBL1825090,8.3,CS(=O)(=O)N(CCCN1CCOCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
CHEMBL1825091,8.22,CS(=O)(=O)N(CCCO)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
CHEMBL1825092,7.05,CC(C)N(c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1)S(C)(=O)=O
CHEMBL1825093,8.3,CS(=O)(=O)N(CCN)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
CHEMBL1825094,7.64,CS(=O)(=O)N(Cc1ccncc1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
CHEMBL1825095,8.22,CS(=O)(=O)N(CCCN1CCCCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1
CHEMBL1825096,8.15,CS(=O)(=O)Nc1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1
CHEMBL1825097,7.51,CS(=O)(=O)N(CCN1CCOCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1
CHEMBL1825098,8,CS(=O)(=O)N(CCN1CCCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1
CHEMBL1825099,8,CN(C)CCN(c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1)S(C)(=O)=O
CHEMBL1825100,8.4,CS(=O)(=O)N(CCO)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1
CHEMBL1825101,8.52,CS(=O)(=O)N(CCN)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1
CHEMBL1825102,7.89,CS(=O)(=O)N(Cc1ccncc1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1
CHEMBL1825103,,CS(=O)(=O)N(c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)nc1)S(C)(=O)=O
CHEMBL182641,6.3,COc1ccc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2c1C(C)C
CHEMBL182843,6.67,COc1ccc2cnc(Nc3ccc(N4CCNCC4)c(F)c3)nc2c1C1CCCC1
CHEMBL1830064,6.04,COc1ccc2c(c1)/C(=C1/Nc3ccccc3/C1=N\O)C(=O)N2
CHEMBL183200,,Cc1cc(O)c(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12
CHEMBL183269,,COc1ccc2cnc(Nc3ccc(N4CCCCC4)cc3)nc2c1C1CCCC1
CHEMBL183408,4.19,COc1cnc2oc3ccc(O)cc3c2c1-c1ccccc1
CHEMBL183455,6.1,COc1ccc2cnc(Nc3ccccc3)nc2c1C1CCCC1
CHEMBL183511,5.89,COc1ccc2cnc(Nc3ccc(N4CCC(N)C4)cc3)nc2c1C(C)C
CHEMBL183855,,COc1cc(C)c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2c1C1CCCC1
CHEMBL189963,,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
CHEMBL1921805,4.62,CC[C@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(C)(C)O
CHEMBL1921814,,COc1ccc(-c2c(C(N)=O)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)cc1
CHEMBL1922114,4.41,CC[C@@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(C)O
CHEMBL1922115,4.46,CCC(O)[C@@H](CC)Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1
CHEMBL1922116,4.08,CC[C@@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(O)C(C)C
CHEMBL1922117,,CC[C@@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(O)C(C)(C)C
CHEMBL1922118,4.36,CC[C@@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(C)(C)O
CHEMBL1922119,5.31,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)O
CHEMBL1922120,4.92,CCC(O)[C@@H](CC)Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1
CHEMBL1922121,4.7,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(O)C(C)C
CHEMBL1922122,4.64,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(O)C(C)(C)C
CHEMBL1922123,5.21,CC[C@@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O
CHEMBL1922199,4.75,CC[C@@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(C)O
CHEMBL1922200,4.66,CCC(O)[C@@H](CC)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL1922201,4.55,CC[C@@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(O)C(C)C
CHEMBL1922202,4.52,CC[C@@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(O)C(C)(C)C
CHEMBL1922203,4.77,CC[C@@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(C)(C)O
CHEMBL1922204,5.05,CC[C@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(C)O
CHEMBL1922205,4.4,CCC(O)[C@H](CC)Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1
CHEMBL1922206,,CC[C@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(O)C(C)C
CHEMBL1922207,,CC[C@H](Nc1nc(NCc2ccccn2)c2ncn(C(C)C)c2n1)C(O)C(C)(C)C
CHEMBL1922208,5.66,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)O
CHEMBL1922209,4.89,CCC(O)[C@H](CC)Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1
CHEMBL1922210,4.66,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(O)C(C)C
CHEMBL1922211,4.68,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(O)C(C)(C)C
CHEMBL1922212,5.36,CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)C(C)(C)O
CHEMBL1922213,5.03,CC[C@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(C)O
CHEMBL1922214,4.72,CCC(O)[C@H](CC)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
CHEMBL1922215,4.47,CC[C@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(O)C(C)C
CHEMBL1922216,4.35,CC[C@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(O)C(C)(C)C
CHEMBL1922217,5.04,CC[C@H](Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1)C(C)(C)O
CHEMBL1923086,,N#Cc1c(Br)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923087,8.85,NC(=O)c1c(Br)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1923088,,Cc1ccc(-c2c(C#N)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)cc1
CHEMBL1923089,,COc1ccc(-c2c(C#N)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)cc1
CHEMBL1923090,,COc1cccc(-c2c(C#N)c3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c1
